team,match_up,game_date,w_l,min,pts,fgm,fga,fgp,tpm,tpa,tpp,ftm,fta,ftp,oreb,dreb,reb,ast,stl,blk,tov,pf,p_m,offrtg,derftg,netrtg,astp,astto,astr,orebp,drebp,rebp,tovp,efgp,tsp,pace,pie
WAS,WAS vs. TOR,44582,L,240,105,43,85,50.6,11,33,33.3,8,10,80,11,34,45,29,3,3,18,16,-4,112.9,116,-3.1,67.4,1.61,21.3,34.1,74,55.3,19.4,57.1,58.7,93.5,49.6
WAS,WAS vs. BKN,44580,L,240,118,41,86,47.7,10,29,34.5,26,32,81.3,13,27,40,23,6,8,13,19,-1,120.4,122.7,-2.3,56.1,1.77,16.5,36.7,65.1,50,13.3,53.5,59,97.5,51.3
WAS,WAS vs. PHI,44578,W,240,117,42,87,48.3,9,30,30,24,32,75,9,40,49,25,7,6,12,18,19,117,99,18,59.5,2.08,17.7,33.3,78.8,57,12,53.4,57.9,99.5,61.4
WAS,WAS vs. POR,44576,L,240,110,39,90,43.3,12,37,32.4,20,23,87,10,33,43,20,4,3,20,26,-5,105.8,109.5,-3.8,51.3,1,14.3,30.8,76.9,53.8,19.2,50,54.9,104.5,45.5
WAS,WAS vs. ORL,44573,W,240,112,43,82,52.4,10,31,32.3,16,21,76.2,6,36,42,26,6,4,10,14,6,119.1,112.8,6.4,60.5,2.6,20.3,19,62.1,44,10.6,58.5,61.4,94,53.9
WAS,WAS vs. OKC,44572,W,240,122,47,87,54,11,33,33.3,17,23,73.9,7,35,42,29,3,7,8,15,4,123.2,119.2,4,61.7,3.63,21.3,18.6,75,49.5,8.1,60.3,62.8,99,54.7
WAS,WAS @ ORL,44570,W,240,102,36,88,40.9,11,29,37.9,19,24,79.2,12,42,54,23,1,6,13,21,2,106.3,103.1,3.2,63.9,1.77,16.9,31.5,74.1,53.6,13.5,47.2,51.7,96.5,51.7
WAS,WAS @ CHI,44568,L,240,122,45,88,51.1,7,24,29.2,25,26,96.2,10,31,41,28,8,5,15,15,-8,117.3,123.8,-6.5,62.2,1.87,19.6,25,73.3,49.4,14.4,55.1,61.3,104.5,48.2
WAS,WAS vs. HOU,44566,L,240,111,40,91,44,10,39,25.6,21,26,80.8,9,32,41,18,9,6,15,27,-3,102.8,106.5,-3.8,45,1.2,12.9,24.1,72.9,47.1,13.9,49.5,54.2,107.5,48
WAS,WAS vs. CHA,44564,W,240,124,40,87,46,16,38,42.1,28,31,90.3,10,41,51,26,5,4,15,12,3,119.2,115.2,4,65,1.73,18.3,25.5,75.4,52.9,14.4,55.2,61.6,104.5,52.7
WAS,WAS vs. CHI,44562,L,240,119,46,87,52.9,6,27,22.2,21,26,80.8,6,37,43,26,9,3,12,22,-1,114.4,116.5,-2.1,56.5,2.17,18.8,17.4,84.4,50.5,11.5,56.3,60.4,103.5,54.1
WAS,WAS vs. CLE,44560,W,240,110,45,90,50,9,29,31,11,17,64.7,10,37,47,27,7,8,8,19,17,115.8,97.9,17.9,60,3.38,20.1,25,75.5,51.5,8.4,55,56.4,95,60.7
WAS,WAS @ MIA,44558,L,240,112,42,85,49.4,17,42,40.5,11,14,78.6,13,34,47,27,5,3,18,20,-7,117.9,126.6,-8.7,64.3,1.5,19.7,33.3,69.8,53.1,18.9,59.4,61.4,94.5,45.4
WAS,WAS vs. PHI,44556,L,240,96,35,90,38.9,8,33,24.2,18,28,64.3,14,29,43,22,6,1,8,18,-21,101.1,123.2,-22.1,62.9,2.75,16.4,28.3,70.5,46.2,8.4,43.3,46.9,95,37.7
WAS,WAS @ NYK,44553,W,240,124,42,75,56,16,37,43.2,24,32,75,5,33,38,30,4,6,11,18,7,130.5,121.9,8.7,71.4,2.73,22.9,15.4,69.2,46.2,11.6,66.7,69.6,95.5,58
WAS,WAS @ UTA,44548,W,240,109,42,94,44.7,9,31,29,16,20,80,11,36,47,27,7,4,9,23,6,109,102,7,64.3,3,19.4,22.2,78,49,9,49.5,53,100.5,57.1
WAS,WAS @ PHX,44546,L,240,98,40,82,48.8,6,21,28.6,12,19,63.2,6,26,32,22,11,3,16,21,-20,97,118,-21,55,1.38,16.9,15.6,73.7,42.2,15.8,52.4,54.2,100.5,39.7
WAS,WAS @ SAC,44545,L,240,105,42,89,47.2,5,24,20.8,16,21,76.2,7,32,39,20,8,3,11,22,-14,105,121.4,-16.4,47.6,1.82,15.3,25,82.9,51.7,11,50,53.4,99,42.9
WAS,WAS @ DEN,44543,L,240,107,41,90,45.6,12,34,35.3,13,21,61.9,6,35,41,25,7,5,10,26,-6,107,111.9,-4.9,61,2.5,18.8,15.1,84.1,46.4,10,52.2,53.9,100.5,42.5
WAS,WAS vs. UTA,44541,L,240,98,41,89,46.1,8,25,32,8,14,57.1,9,30,39,17,3,3,13,15,-25,101,125.5,-24.5,41.5,1.31,13.5,23.5,70.2,45.9,13.4,50.6,51.5,97.5,35.6
WAS,WAS @ DET,44538,W,265,119,42,88,47.7,12,32,37.5,23,28,82.1,13,32,45,27,6,8,17,21,3,117.8,112.6,5.2,64.3,1.59,18.9,32,73.3,51.6,16.8,54.5,59.3,92.38,53.3
WAS,WAS @ IND,44536,L,240,110,43,81,53.1,7,15,46.7,17,21,81,9,21,30,25,11,2,12,19,-6,122.2,126.1,-3.9,58.1,2.08,19.7,30,53.8,41.8,13.3,57.4,60.9,91,46.7
WAS,WAS @ TOR,44535,L,240,90,30,73,41.1,8,25,32,22,29,75.9,6,37,43,20,4,5,10,22,-12,96.8,110.9,-14.1,66.7,2,16.7,15.6,74,46.3,10.8,46.6,52.5,92.5,46.9
WAS,WAS vs. CLE,44533,L,240,101,38,82,46.3,10,31,32.3,15,19,78.9,3,30,33,21,5,4,10,22,-15,106.3,120.8,-14.5,55.3,2.1,17.4,13.3,64.2,40.8,10.5,52.4,55.9,95.5,42.5
WAS,WAS vs. MIN,44531,W,240,115,45,91,49.5,10,32,31.3,15,21,71.4,14,38,52,34,6,7,14,23,8,115,108.1,6.9,75.6,2.43,22.5,34.7,74.1,55.3,14,54.9,57.4,99.5,62.1
WAS,WAS @ SAS,44529,L,240,99,41,92,44.6,9,31,29,8,13,61.5,12,28,40,26,5,3,7,15,-17,108.8,128.9,-20.1,63.4,3.71,19.8,30.2,61.7,45,7.7,49.5,50.7,90.5,42.1
WAS,WAS @ DAL,44527,W,240,120,45,78,57.7,9,24,37.5,21,26,80.8,7,36,43,28,4,4,15,18,6,126.3,117.5,8.8,62.2,1.87,21.2,25,76,54.7,15.8,63.5,67.1,96,56.2
WAS,WAS @ OKC,44526,W,240,101,38,79,48.1,10,29,34.5,15,15,100,5,38,43,17,2,12,15,15,2,106.3,103.1,3.2,44.7,1.13,14.4,14.6,70.2,46.9,15.8,54.4,59,95.5,53.2
WAS,WAS @ NOP,44524,L,240,102,36,84,42.9,7,31,22.6,23,36,63.9,13,32,45,23,5,3,19,23,-25,94.4,118.7,-24.2,63.9,1.21,15.9,25.9,72.2,49.1,17.6,47,51.1,107.5,34.7
WAS,WAS vs. CHA,44522,L,240,103,36,94,38.3,9,37,24.3,22,27,81.5,20,45,65,23,6,6,18,20,-6,99,106.9,-7.8,63.9,1.28,15.1,43.1,84.2,63.5,17.3,43.1,48.6,103,51.7
WAS,WAS vs. MIA,44520,W,240,103,36,74,48.6,11,30,36.7,20,23,87,9,26,35,22,6,2,20,19,3,113.2,107.5,5.7,61.1,1.1,17.6,30,65.9,48.8,22,56.1,61.2,92,52.2
WAS,WAS @ MIA,44518,L,240,97,38,77,49.4,15,36,41.7,6,10,60,5,32,37,25,4,3,17,19,-15,104.3,119.1,-14.8,65.8,1.47,20,16.7,78.6,47.6,18.3,59.1,59.6,93.5,40.3
WAS,WAS @ CHA,44517,L,240,87,33,90,36.7,8,42,19,13,16,81.3,11,37,48,23,7,5,11,12,-10,93.5,104.3,-10.8,69.7,2.09,17.7,25.4,67.9,46.1,11.8,41.1,44.8,93,43.2
WAS,WAS vs. NOP,44515,W,240,105,39,84,46.4,10,28,35.7,17,25,68,6,36,42,23,9,4,6,22,5,112.9,106.4,6.5,59,3.83,18.5,16.7,78.7,47.4,6.5,52.4,55.3,93.5,55.1
WAS,WAS @ ORL,44513,W,240,104,42,84,50,12,35,34.3,8,10,80,7,41,48,29,6,7,16,17,12,108.3,95.8,12.5,69,1.81,21.5,23.3,69.4,50.5,16.7,57.1,58.8,96,62
WAS,WAS @ CLE,44510,W,240,97,35,84,41.7,10,28,35.7,17,17,100,12,37,49,25,9,2,12,20,3,104.3,101.1,3.2,71.4,2.08,19.1,26.5,82.6,53.7,12.9,47.6,53,93,53.7
WAS,WAS vs. MIL,44507,W,240,101,41,81,50.6,11,27,40.7,8,13,61.5,4,38,42,24,8,8,19,16,7,102,94.9,7.1,58.5,1.26,18.5,17.5,68.3,48,19.2,57.4,58.2,99,55
WAS,WAS vs. MEM,44505,W,240,115,49,84,58.3,10,25,40,7,13,53.8,5,48,53,34,4,6,19,13,28,113.9,86.1,27.7,69.4,1.79,23.4,26.3,79,59,18.8,64.3,64.1,101,67.9
WAS,WAS vs. TOR,44503,L,240,100,34,78,43.6,8,32,25,24,30,80,10,34,44,19,6,7,13,15,-9,103.1,113.5,-10.4,55.9,1.46,14.8,24.5,72,48.5,13.4,48.7,54.8,96.5,50
WAS,WAS @ ATL,44501,L,240,111,41,86,47.7,13,39,33.3,16,16,100,7,29,36,27,7,4,12,24,-7,116.8,122.9,-6.1,65.9,2.25,20.5,22.2,66.7,44.4,12.6,55.2,59.7,95.5,44.9
WAS,WAS vs. BOS,44499,W,290,115,38,104,36.5,10,36,27.8,29,36,80.6,12,50,62,19,6,7,13,22,3,95,93.3,1.7,50,1.46,12.3,21.7,80.3,50.4,10.7,41.3,48,99.72,51
WAS,WAS vs. ATL,44497,W,240,122,46,99,46.5,13,34,38.2,17,21,81,14,37,51,26,6,4,9,16,11,120.8,109.9,10.9,56.5,2.89,18.1,30.9,86.4,55.6,8.9,53,56.4,101,52.1
WAS,WAS @ BOS,44496,W,240,116,43,84,51.2,9,25,36,21,29,72.4,11,36,47,18,8,7,16,20,9,116,108.1,7.9,41.9,1.13,13.6,36.4,72.5,55.8,16,56.5,59.9,99.5,55.6
WAS,WAS @ BKN,44494,L,240,90,33,95,34.7,9,39,23.1,15,20,75,10,43,53,16,5,5,12,17,-14,86.5,101,-14.4,48.5,1.33,12.1,23.8,85.2,52.1,11.5,39.5,43.4,103.5,39.5
WAS,WAS vs. IND,44491,W,265,135,49,94,52.1,19,38,50,18,19,94.7,6,32,38,24,5,6,9,21,1,128.6,127.6,1,49,2.67,17.5,17.8,71.4,45.7,8.6,62.2,65.9,95.09,50.3
WAS,WAS @ TOR,44489,W,240,98,36,81,44.4,5,27,18.5,21,26,80.8,7,44,51,20,14,8,22,17,15,92.5,77.6,14.9,55.6,0.91,14.8,20,69.6,50,20.8,47.5,53,106.5,70
UTA,UTA @ POR,44661,W,240,111,37,82,45.1,9,36,25,28,38,73.7,15,45,60,23,8,6,17,16,31,112.1,81.6,30.5,62.2,1.35,16.1,42,86.8,65,17.2,50.6,56.2,98.5,69.7
UTA,UTA vs. PHX,44659,L,240,105,35,88,39.8,11,38,28.9,24,33,72.7,15,29,44,20,8,4,11,18,-6,107.1,112.1,-5,57.1,1.82,14.9,30.4,69.6,48,11.2,46,51.2,98.5,44.4
UTA,UTA vs. OKC,44657,W,240,137,49,84,58.3,15,36,41.7,24,32,75,16,39,55,29,7,10,13,13,36,144.2,107.4,36.8,59.2,2.23,20.4,46.2,76.4,63.8,13.7,67.3,69.8,94.5,68.1
UTA,UTA vs. MEM,44656,W,265,121,40,96,41.7,12,38,31.6,29,43,67.4,13,48,61,23,8,8,17,21,6,104.3,99.1,5.2,57.5,1.35,14.6,30.2,79.7,55.1,14.7,47.9,52.6,105.06,52
UTA,UTA @ GSW,44653,L,240,107,38,89,42.7,15,46,32.6,16,22,72.7,12,35,47,19,8,2,13,17,-4,115.1,118.1,-3,50,1.46,14.5,35.2,80,55.6,14,51.1,54.2,93.5,44.9
UTA,UTA vs. LAL,44651,W,240,122,46,90,51.1,15,44,34.1,15,24,62.5,9,32,41,25,7,2,8,20,13,127.1,114.7,12.3,54.3,3.13,18.4,32.7,75,52.7,8.3,59.4,60.7,95.5,55.9
UTA,UTA @ LAC,44649,L,240,115,43,78,55.1,12,31,38.7,17,29,58.6,10,28,38,23,5,5,15,24,-6,121.1,127.4,-6.3,53.5,1.53,17.6,31.7,69.8,51.2,15.8,62.8,63.4,95,48.1
UTA,UTA @ DAL,44647,L,240,100,41,89,46.1,12,34,35.3,6,10,60,7,29,36,23,5,1,6,20,-14,114.9,129.5,-14.6,56.1,3.83,18.9,23.5,73.8,46.2,6.9,52.8,53.5,87.5,42.6
UTA,UTA @ CHA,44645,L,240,101,38,84,45.2,17,47,36.2,8,11,72.7,9,29,38,25,7,2,12,16,-6,113.5,118.9,-5.4,65.8,2.08,20,25,62,43.9,13.5,55.4,56.8,89.5,47.6
UTA,UTA @ BOS,44643,L,240,97,35,88,39.8,8,36,22.2,19,21,90.5,16,24,40,13,8,1,14,14,-28,105.4,134.4,-29,37.1,0.93,10.5,35.8,70.6,49.4,15.2,44.3,49.9,92.5,32.2
UTA,UTA @ BKN,44641,L,240,106,37,83,44.6,14,39,35.9,18,22,81.8,11,26,37,18,8,7,14,16,-8,112.8,120,-7.2,48.6,1.29,14.3,28.6,71.1,47.1,14.9,53,57.2,94.5,42.8
UTA,UTA @ NYK,44640,W,240,108,34,74,45.9,17,46,37,23,29,79.3,9,40,49,16,9,11,12,17,15,121.3,102.2,19.2,47.1,1.33,13.8,26.8,72.7,53.1,13.5,57.4,62.2,90,62.4
UTA,UTA vs. LAC,44638,W,240,121,47,97,48.5,16,44,36.4,11,14,78.6,15,44,59,30,9,5,12,18,29,122.2,92,30.2,63.8,2.5,20.7,31.4,80.4,57,12.1,56.7,58.6,99.5,60.4
UTA,UTA vs. CHI,44636,W,240,125,42,83,50.6,19,39,48.7,22,29,75.9,10,37,47,20,8,6,17,18,15,123.8,106.8,17,47.6,1.18,15.2,25.6,78,53.8,16.8,62,65.3,102,54.4
UTA,UTA vs. MIL,44634,L,240,111,37,93,39.8,17,48,35.4,20,24,83.3,13,32,45,21,7,4,14,23,-6,109.9,114.7,-4.8,56.8,1.5,15.1,31,75,50.9,13.9,48.9,53.6,101.5,43.9
UTA,UTA vs. SAC,44632,W,240,134,48,86,55.8,16,41,39,22,31,71,10,34,44,21,4,5,10,20,9,136.7,127.6,9.2,43.8,2.1,15.7,35.7,71.4,54.9,10.2,65.1,67.2,98,52.6
UTA,UTA @ SAS,44631,L,240,102,37,92,40.2,13,40,32.5,15,23,65.2,16,41,57,20,10,8,17,26,-2,103,102,1.1,54.1,1.18,14.4,33.3,69.5,51.3,17.2,47.3,49.9,100.5,49.7
UTA,UTA vs. POR,44629,W,240,123,42,81,51.9,17,46,37,22,27,81.5,6,44,50,31,3,5,9,23,38,128.1,89.5,38.7,73.8,3.44,23,25,75.8,55.9,9.4,62.3,66.2,95.5,75
UTA,UTA @ DAL,44627,L,240,103,36,83,43.4,12,31,38.7,19,24,79.2,12,33,45,22,5,6,14,20,-8,112,118.1,-6.1,61.1,1.57,17.2,27.5,70,48.5,15.2,50.6,55,93,47
UTA,UTA @ OKC,44626,W,240,116,40,89,44.9,23,52,44.2,13,17,76.5,11,37,48,27,4,4,11,21,13,120.8,108.4,12.4,67.5,2.45,20,27.5,71.7,50,11.5,57.9,60.1,95.5,52.1
UTA,UTA @ NOP,44624,L,240,90,31,89,34.8,11,41,26.8,17,26,65.4,22,30,52,15,7,2,21,14,-34,90.9,126.5,-35.6,48.4,0.71,10.7,41.5,62,50.4,21.2,41,44.8,98.5,29.2
UTA,UTA @ HOU,44622,W,265,132,50,91,54.9,15,42,35.7,17,24,70.8,11,38,49,32,12,2,19,24,5,118.9,115.5,3.5,64,1.68,20.5,28.9,89.1,59.3,17.1,63.2,65,100.08,55.5
UTA,UTA @ PHX,44619,W,240,118,44,94,46.8,17,40,42.5,13,20,65,14,27,41,23,7,6,10,16,4,129.7,126.7,3,52.3,2.3,16.7,45.3,68.2,55.7,11,55.9,57.4,90.5,49.2
UTA,UTA vs. DAL,44617,W,240,114,40,74,54.1,16,38,42.1,18,22,81.8,9,35,44,22,9,4,18,14,5,121.3,117.2,4.1,55,1.22,17.5,30.6,76.1,56.1,19.1,64.9,68.1,93.5,56.8
UTA,UTA @ LAL,44608,L,240,101,37,79,46.8,11,33,33.3,16,19,84.2,8,33,41,17,11,6,13,22,-5,107.4,114,-6.5,45.9,1.31,14,23.3,70,48.4,13.8,53.8,57.8,93.5,47.7
UTA,UTA vs. HOU,44606,W,240,135,49,89,55.1,18,40,45,19,22,86.4,13,40,53,34,6,5,13,22,34,140.6,106.3,34.3,69.4,2.62,23.1,42.9,77.8,62.5,13.5,65.2,68.4,95.5,67.6
UTA,UTA vs. ORL,44603,W,240,114,40,89,44.9,13,41,31.7,21,24,87.5,11,39,50,22,15,5,16,14,15,112.9,99,13.9,55,1.38,16.1,30,81.3,55.1,15.8,52.2,57.3,100.5,56.9
UTA,UTA vs. GSW,44601,W,240,111,41,89,46.1,17,51,33.3,12,17,70.6,11,41,52,26,3,9,12,16,26,122,91.4,30.6,63.4,2.17,19.5,32,82.4,57.4,13.2,55.6,57.5,92,65.1
UTA,UTA vs. NYK,44599,W,240,113,39,93,41.9,12,48,25,23,27,85.2,14,35,49,19,6,6,12,26,9,113,106.1,6.9,48.7,1.58,13.8,35.1,55.4,45.9,12,48.4,53.9,99,55.9
UTA,UTA vs. BKN,44596,W,240,125,48,85,56.5,17,38,44.7,12,14,85.7,9,41,50,33,7,5,18,16,23,128.9,105.2,23.7,68.8,1.83,23.4,30.8,70,54.5,18.6,66.5,68.6,97,61.1
UTA,UTA vs. DEN,44594,W,240,108,42,86,48.8,7,29,24.1,17,22,77.3,8,29,37,21,8,4,8,12,4,116.1,114.3,1.8,50,2.63,16.5,31.3,81.6,53.5,8.6,52.9,56.4,92,51.2
UTA,UTA @ MIN,44591,L,240,106,38,81,46.9,15,40,37.5,15,21,71.4,9,29,38,23,8,4,20,24,-20,103.9,124.8,-20.8,60.5,1.15,16.8,26.1,71.4,47.7,19.6,56.2,58.7,101.5,37.2
UTA,UTA @ MEM,44589,L,240,109,37,85,43.5,17,46,37,18,21,85.7,11,26,37,20,10,3,18,16,-10,110.1,117.8,-7.7,54.1,1.11,15.3,24.5,74.4,46.6,18.2,53.5,57.8,100,41.9
UTA,UTA vs. PHX,44587,L,240,97,34,79,43,12,30,40,17,23,73.9,8,31,39,20,6,4,16,28,-8,104.3,112.9,-8.6,58.8,1.25,15.9,28,72.7,48.9,17.2,50.6,54.4,93,42.5
UTA,UTA @ PHX,44585,L,240,109,40,81,49.4,14,31,45.2,15,22,68.2,7,31,38,16,11,3,14,15,-6,111.2,117.3,-6.1,40,1.14,13,20.5,57.1,41,14.3,58,60.1,98,46.9
UTA,UTA @ GSW,44584,L,240,92,31,81,38.3,11,35,31.4,19,23,82.6,17,34,51,17,7,2,12,13,-2,107,110.6,-3.6,54.8,1.42,13.8,37.7,74.5,55,14,45.1,50.5,85.5,49.7
